=== ECLAT RARE MIXED - RARE ITEMSETS MINING ===
File dữ liệu: accidents.hui
MinRareSupport (minsup): 15.0%
MinFrequentSupport (maxsup): 50.0%
MinSize: 1 items
MaxSize: 5 items
Mode: MIXED (Frequent + Rare Items)
Thời gian bắt đầu: Thu Jun 05 04:18:25 ICT 2025
Output folder: release/EclatRare/
Optimization: BitSet for improved performance

========== ĐỊNH NGHĨA MIXED MODE ==========
- Rare Item: MRT < Support(X) <= MFT
- Frequent Item: Support(X) > MFT
- Infrequent Item: Support(X) <= MRT
- Rare ItemSet: MRT < Support(Pattern) <= MFT AND có ít nhất 1 rare item
- Kích thước itemset: 1 <= size <= 5
- Chấp nhận patterns chứa cả frequent và rare items

========== DATABASE INFO ==========
Số lượng giao dịch: 340183

========== MIXED RARE ITEMSETS ==========
Tìm itemsets với support trong khoảng (15.0%, 50.0%]
Kích thước itemset: 1 <= size <= 5
Điều kiện: Pattern có ít nhất 1 rare item
Mode: MIXED (chấp nhận cả frequent và rare items)
Optimization: BitSet for improved performance

--- 1-itemsets HIẾM (MIXED) ---
2  #SUP: 53313 (15.67%)
16 26  #SUP: 127444 (37.46%)
16 30  #SUP: 145431 (42.75%)
16 33  #SUP: 62579 (18.40%)
16 35  #SUP: 57529 (16.91%)
16 39  #SUP: 130805 (38.45%)
16 42  #SUP: 51518 (15.14%)
16 44  #SUP: 71075 (20.89%)
16 46  #SUP: 132756 (39.02%)
16 47  #SUP: 86278 (25.36%)
16 49  #SUP: 57814 (16.99%)
16 53  #SUP: 114468 (33.65%)
16 56  #SUP: 100407 (29.52%)
16 60  #SUP: 127121 (37.37%)
16 61  #SUP: 68263 (20.07%)
16 62  #SUP: 58081 (17.07%)
16 64  #SUP: 76434 (22.47%)
16 68  #SUP: 71059 (20.89%)
16 80  #SUP: 113643 (33.41%)
16 82  #SUP: 66947 (19.68%)
16 84  #SUP: 60302 (17.73%)
16 102  #SUP: 58551 (17.21%)
16 108  #SUP: 57056 (16.77%)
16 335  #SUP: 72193 (21.22%)
17 23  #SUP: 140492 (41.30%)
17 26  #SUP: 130779 (38.44%)
17 30  #SUP: 148715 (43.72%)
17 33  #SUP: 64778 (19.04%)
17 35  #SUP: 59706 (17.55%)
17 39  #SUP: 133828 (39.34%)
17 42  #SUP: 52248 (15.36%)
17 44  #SUP: 72800 (21.40%)
17 46  #SUP: 134535 (39.55%)
17 47  #SUP: 88873 (26.13%)
17 49  #SUP: 59787 (17.57%)
17 53  #SUP: 116249 (34.17%)
17 56  #SUP: 102124 (30.02%)
17 60  #SUP: 129066 (37.94%)
17 61  #SUP: 69977 (20.57%)
17 62  #SUP: 58905 (17.32%)
17 64  #SUP: 77566 (22.80%)
17 68  #SUP: 73326 (21.55%)
17 80  #SUP: 115594 (33.98%)
17 82  #SUP: 68192 (20.05%)
17 84  #SUP: 61627 (18.12%)
17 102  #SUP: 59537 (17.50%)
17 108  #SUP: 57774 (16.98%)
17 335  #SUP: 73690 (21.66%)
18 23  #SUP: 140075 (41.18%)
18 26  #SUP: 130606 (38.39%)
18 30  #SUP: 148533 (43.66%)
18 33  #SUP: 64832 (19.06%)
18 35  #SUP: 59517 (17.50%)
18 39  #SUP: 133598 (39.27%)
18 42  #SUP: 52054 (15.30%)
18 44  #SUP: 72913 (21.43%)
18 46  #SUP: 134258 (39.47%)
18 47  #SUP: 88779 (26.10%)
18 49  #SUP: 59556 (17.51%)
18 53  #SUP: 115890 (34.07%)
18 56  #SUP: 101846 (29.94%)
18 60  #SUP: 129001 (37.92%)
18 61  #SUP: 69783 (20.51%)
18 62  #SUP: 58845 (17.30%)
18 64  #SUP: 77447 (22.77%)
18 68  #SUP: 73026 (21.47%)
18 80  #SUP: 115419 (33.93%)
18 82  #SUP: 68204 (20.05%)
18 84  #SUP: 61416 (18.05%)
18 102  #SUP: 59327 (17.44%)
18 108  #SUP: 57676 (16.95%)
18 335  #SUP: 73728 (21.67%)
21 23  #SUP: 128090 (37.65%)
21 26  #SUP: 118383 (34.80%)
21 30  #SUP: 137902 (40.54%)
21 33  #SUP: 58875 (17.31%)
21 35  #SUP: 54723 (16.09%)
21 39  #SUP: 125627 (36.93%)
21 44  #SUP: 68226 (20.06%)
21 46  #SUP: 116197 (34.16%)
21 47  #SUP: 79425 (23.35%)
21 49  #SUP: 52139 (15.33%)
21 53  #SUP: 107906 (31.72%)
21 56  #SUP: 96051 (28.24%)
21 60  #SUP: 115853 (34.06%)
21 61  #SUP: 64656 (19.01%)
21 62  #SUP: 54756 (16.10%)
21 64  #SUP: 67760 (19.92%)
21 68  #SUP: 69996 (20.58%)
21 80  #SUP: 107760 (31.68%)
21 82  #SUP: 60274 (17.72%)
21 84  #SUP: 57906 (17.02%)
21 102  #SUP: 56524 (16.62%)
21 108  #SUP: 55341 (16.27%)
21 335  #SUP: 64707 (19.02%)
22 23  #SUP: 91889 (27.01%)
22 26  #SUP: 88812 (26.11%)
22 30  #SUP: 96844 (28.47%)
22 39  #SUP: 92980 (27.33%)
22 46  #SUP: 94032 (27.64%)
22 53  #SUP: 84595 (24.87%)
22 56  #SUP: 74094 (21.78%)
22 60  #SUP: 96122 (28.26%)
22 64  #SUP: 54522 (16.03%)
22 80  #SUP: 81861 (24.06%)
22 82  #SUP: 53617 (15.76%)
23 24  #SUP: 110249 (32.41%)
23 25  #SUP: 99450 (29.23%)
23 26  #SUP: 68339 (20.09%)
23 27  #SUP: 118948 (34.97%)
23 28  #SUP: 103913 (30.55%)
23 29  #SUP: 124205 (36.51%)
23 30  #SUP: 77069 (22.66%)
23 31  #SUP: 129093 (37.95%)
23 35  #SUP: 57803 (16.99%)
23 38  #SUP: 86403 (25.40%)
23 39  #SUP: 70456 (20.71%)
23 41  #SUP: 103597 (30.45%)
23 43  #SUP: 111112 (32.66%)
23 59  #SUP: 89734 (26.38%)
23 60  #SUP: 58648 (17.24%)
23 63  #SUP: 91576 (26.92%)
23 80  #SUP: 51885 (15.25%)
24 26  #SUP: 105199 (30.92%)
24 30  #SUP: 118542 (34.85%)
24 39  #SUP: 107038 (31.46%)
24 46  #SUP: 111419 (32.75%)
24 47  #SUP: 71357 (20.98%)
24 53  #SUP: 97115 (28.55%)
24 56  #SUP: 84950 (24.97%)
24 60  #SUP: 103370 (30.39%)
24 61  #SUP: 56180 (16.51%)
24 64  #SUP: 64176 (18.87%)
24 68  #SUP: 58496 (17.20%)
24 80  #SUP: 94261 (27.71%)
24 82  #SUP: 54932 (16.15%)
24 335  #SUP: 59625 (17.53%)
25 26  #SUP: 97356 (28.62%)
25 30  #SUP: 108137 (31.79%)
25 39  #SUP: 98568 (28.97%)
25 44  #SUP: 51703 (15.20%)
25 46  #SUP: 109523 (32.20%)
25 47  #SUP: 59631 (17.53%)
25 53  #SUP: 90049 (26.47%)
25 56  #SUP: 77954 (22.92%)
25 60  #SUP: 102098 (30.01%)
25 61  #SUP: 52002 (15.29%)
25 64  #SUP: 62697 (18.43%)
25 80  #SUP: 85545 (25.15%)
25 82  #SUP: 51761 (15.22%)
25 335  #SUP: 57355 (16.86%)
26 27  #SUP: 111714 (32.84%)
26 28  #SUP: 102512 (30.13%)
26 29  #SUP: 116075 (34.12%)
26 30  #SUP: 72124 (21.20%)
26 31  #SUP: 123758 (36.38%)
26 38  #SUP: 54261 (15.95%)
26 39  #SUP: 65471 (19.25%)
26 41  #SUP: 106109 (31.19%)
26 43  #SUP: 112644 (33.11%)
26 46  #SUP: 62262 (18.30%)
26 53  #SUP: 59359 (17.45%)
26 56  #SUP: 55736 (16.38%)
26 59  #SUP: 100475 (29.54%)
26 60  #SUP: 62382 (18.34%)
26 63  #SUP: 86364 (25.39%)
26 80  #SUP: 60293 (17.72%)
27 30  #SUP: 130515 (38.37%)
27 33  #SUP: 56761 (16.69%)
27 35  #SUP: 51379 (15.10%)
27 39  #SUP: 115429 (33.93%)
27 44  #SUP: 65116 (19.14%)
27 46  #SUP: 110747 (32.56%)
27 47  #SUP: 76701 (22.55%)
27 53  #SUP: 102891 (30.25%)
27 56  #SUP: 91640 (26.94%)
27 60  #SUP: 112706 (33.13%)
27 61  #SUP: 60389 (17.75%)
27 62  #SUP: 52451 (15.42%)
27 64  #SUP: 64682 (19.01%)
27 68  #SUP: 64716 (19.02%)
27 80  #SUP: 102329 (30.08%)
27 82  #SUP: 56908 (16.73%)
27 84  #SUP: 54738 (16.09%)
27 102  #SUP: 53828 (15.82%)
27 108  #SUP: 53989 (15.87%)
27 335  #SUP: 60160 (17.68%)
28 30  #SUP: 115199 (33.86%)
28 39  #SUP: 106136 (31.20%)
28 44  #SUP: 55429 (16.29%)
28 46  #SUP: 114895 (33.77%)
28 47  #SUP: 64612 (18.99%)
28 53  #SUP: 96735 (28.44%)
28 56  #SUP: 83109 (24.43%)
28 60  #SUP: 109697 (32.25%)
28 61  #SUP: 56583 (16.63%)
28 64  #SUP: 66226 (19.47%)
28 80  #SUP: 92459 (27.18%)
28 82  #SUP: 55778 (16.40%)
28 335  #SUP: 61110 (17.96%)
29 30  #SUP: 132651 (38.99%)
29 33  #SUP: 59033 (17.35%)
29 35  #SUP: 53254 (15.65%)
29 39  #SUP: 118828 (34.93%)
29 44  #SUP: 63609 (18.70%)
29 46  #SUP: 117406 (34.51%)
29 47  #SUP: 80506 (23.67%)
29 49  #SUP: 52666 (15.48%)
29 53  #SUP: 104106 (30.60%)
29 56  #SUP: 91081 (26.77%)
29 60  #SUP: 95946 (28.20%)
29 61  #SUP: 63120 (18.55%)
29 62  #SUP: 53602 (15.76%)
29 64  #SUP: 67887 (19.96%)
29 68  #SUP: 67494 (19.84%)
29 80  #SUP: 103147 (30.32%)
29 82  #SUP: 60542 (17.80%)
29 84  #SUP: 54840 (16.12%)
29 102  #SUP: 53597 (15.76%)
29 108  #SUP: 52806 (15.52%)
29 335  #SUP: 64233 (18.88%)
30 31  #SUP: 140444 (41.28%)
30 38  #SUP: 93545 (27.50%)
30 41  #SUP: 116808 (34.34%)
30 43  #SUP: 127192 (37.39%)
30 46  #SUP: 71232 (20.94%)
30 47  #SUP: 51721 (15.20%)
30 53  #SUP: 63664 (18.71%)
30 56  #SUP: 56746 (16.68%)
30 59  #SUP: 106827 (31.40%)
30 60  #SUP: 70079 (20.60%)
30 63  #SUP: 95686 (28.13%)
30 80  #SUP: 63969 (18.80%)
31 33  #SUP: 56278 (16.54%)
31 35  #SUP: 55158 (16.21%)
31 39  #SUP: 127173 (37.38%)
31 44  #SUP: 68422 (20.11%)
31 46  #SUP: 127507 (37.48%)
31 47  #SUP: 79553 (23.39%)
31 49  #SUP: 54256 (15.95%)
31 53  #SUP: 113742 (33.44%)
31 56  #SUP: 100138 (29.44%)
31 60  #SUP: 125054 (36.76%)
31 61  #SUP: 67131 (19.73%)
31 62  #SUP: 57448 (16.89%)
31 64  #SUP: 74068 (21.77%)
31 68  #SUP: 71921 (21.14%)
31 80  #SUP: 111749 (32.85%)
31 82  #SUP: 65764 (19.33%)
31 84  #SUP: 59386 (17.46%)
31 102  #SUP: 58264 (17.13%)
31 108  #SUP: 55324 (16.26%)
31 335  #SUP: 68570 (20.16%)
33 43  #SUP: 54308 (15.96%)
35 43  #SUP: 55044 (16.18%)
38 39  #SUP: 84463 (24.83%)
38 46  #SUP: 83920 (24.67%)
38 47  #SUP: 54262 (15.95%)
38 53  #SUP: 75646 (22.24%)
38 56  #SUP: 67548 (19.86%)
38 60  #SUP: 80930 (23.79%)
38 80  #SUP: 74577 (21.92%)
39 41  #SUP: 109048 (32.06%)
39 43  #SUP: 113550 (33.38%)
39 46  #SUP: 62978 (18.51%)
39 53  #SUP: 59256 (17.42%)
39 56  #SUP: 51671 (15.19%)
39 59  #SUP: 99926 (29.37%)
39 60  #SUP: 67733 (19.91%)
39 63  #SUP: 84813 (24.93%)
39 80  #SUP: 59078 (17.37%)
41 44  #SUP: 56274 (16.54%)
41 46  #SUP: 110068 (32.36%)
41 47  #SUP: 63717 (18.73%)
41 53  #SUP: 104452 (30.70%)
41 56  #SUP: 94725 (27.85%)
41 60  #SUP: 107828 (31.70%)
41 61  #SUP: 59062 (17.36%)
41 62  #SUP: 51081 (15.02%)
41 64  #SUP: 63750 (18.74%)
41 68  #SUP: 58857 (17.30%)
41 80  #SUP: 100049 (29.41%)
41 82  #SUP: 57027 (16.76%)
41 84  #SUP: 52986 (15.58%)
41 335  #SUP: 57761 (16.98%)
43 44  #SUP: 61278 (18.01%)
43 46  #SUP: 124386 (36.56%)
43 47  #SUP: 75844 (22.30%)
43 53  #SUP: 105757 (31.09%)
43 56  #SUP: 94464 (27.77%)
43 60  #SUP: 113193 (33.27%)
43 61  #SUP: 59318 (17.44%)
43 64  #SUP: 72480 (21.31%)
43 68  #SUP: 63015 (18.52%)
43 80  #SUP: 110053 (32.35%)
43 82  #SUP: 59673 (17.54%)
43 84  #SUP: 59320 (17.44%)
43 102  #SUP: 55473 (16.31%)
43 335  #SUP: 67170 (19.75%)
46 53  #SUP: 65889 (19.37%)
46 56  #SUP: 57463 (16.89%)
46 59  #SUP: 109008 (32.04%)
46 60  #SUP: 70123 (20.61%)
46 63  #SUP: 86760 (25.50%)
46 64  #SUP: 70384 (20.69%)
46 80  #SUP: 63359 (18.62%)
47 59  #SUP: 57329 (16.85%)
47 63  #SUP: 59364 (17.45%)
53 56  #SUP: 78304 (23.02%)
53 59  #SUP: 107386 (31.57%)
53 60  #SUP: 61144 (17.97%)
53 63  #SUP: 76450 (22.47%)
53 80  #SUP: 73261 (21.54%)
56 59  #SUP: 96212 (28.28%)
56 60  #SUP: 54768 (16.10%)
56 63  #SUP: 65998 (19.40%)
56 80  #SUP: 73060 (21.48%)
59 60  #SUP: 101738 (29.91%)
59 61  #SUP: 53551 (15.74%)
59 64  #SUP: 63346 (18.62%)
59 68  #SUP: 54659 (16.07%)
59 80  #SUP: 101121 (29.73%)
59 82  #SUP: 53653 (15.77%)
59 84  #SUP: 53404 (15.70%)
59 102  #SUP: 55455 (16.30%)
59 335  #SUP: 55233 (16.24%)
60 63  #SUP: 80959 (23.80%)
60 80  #SUP: 59422 (17.47%)
63 80  #SUP: 72905 (21.43%)
80 84  #SUP: 61554 (18.09%)

--- 3-itemsets HIẾM (MIXED) ---
1 53 56  #SUP: 54689 (16.08%)
5 12 15  #SUP: 59368 (17.45%)
5 12 16  #SUP: 69675 (20.48%)
5 12 17  #SUP: 70564 (20.74%)
5 12 18  #SUP: 70432 (20.70%)
5 12 21  #SUP: 66286 (19.49%)
5 12 24  #SUP: 56052 (16.48%)
5 12 25  #SUP: 52704 (15.49%)
5 12 27  #SUP: 62656 (18.42%)
5 12 28  #SUP: 56981 (16.75%)
5 12 29  #SUP: 62758 (18.45%)
5 12 31  #SUP: 68675 (20.19%)
5 12 41  #SUP: 61026 (17.94%)
5 12 43  #SUP: 61874 (18.19%)
5 12 59  #SUP: 58527 (17.20%)
5 15 16  #SUP: 58869 (17.31%)
5 15 17  #SUP: 59553 (17.51%)
5 15 18  #SUP: 59424 (17.47%)
5 15 21  #SUP: 55881 (16.43%)
5 15 27  #SUP: 53344 (15.68%)
5 15 29  #SUP: 52791 (15.52%)
5 15 31  #SUP: 58003 (17.05%)
5 15 41  #SUP: 51563 (15.16%)
5 15 43  #SUP: 51956 (15.27%)
5 16 17  #SUP: 69775 (20.51%)
5 16 18  #SUP: 69647 (20.47%)
5 16 21  #SUP: 65543 (19.27%)
5 16 24  #SUP: 55451 (16.30%)
5 16 25  #SUP: 52067 (15.31%)
5 16 27  #SUP: 62182 (18.28%)
5 16 28  #SUP: 56262 (16.54%)
5 16 29  #SUP: 62068 (18.25%)
5 16 31  #SUP: 67916 (19.96%)
5 16 41  #SUP: 60326 (17.73%)
5 16 43  #SUP: 61200 (17.99%)
5 16 59  #SUP: 57900 (17.02%)
5 17 18  #SUP: 70523 (20.73%)
5 17 21  #SUP: 66402 (19.52%)
5 17 22  #SUP: 51048 (15.01%)
5 17 24  #SUP: 56281 (16.54%)
5 17 25  #SUP: 52782 (15.52%)
5 17 27  #SUP: 62851 (18.48%)
5 17 28  #SUP: 57156 (16.80%)
5 17 29  #SUP: 62967 (18.51%)
5 17 31  #SUP: 68829 (20.23%)
5 17 41  #SUP: 61179 (17.98%)
5 17 43  #SUP: 61929 (18.20%)
5 17 59  #SUP: 58652 (17.24%)
5 18 21  #SUP: 66272 (19.48%)
5 18 24  #SUP: 56121 (16.50%)
5 18 25  #SUP: 52710 (15.49%)
5 18 27  #SUP: 62767 (18.45%)
5 18 28  #SUP: 57020 (16.76%)
5 18 29  #SUP: 62826 (18.47%)
5 18 31  #SUP: 68635 (20.18%)
5 18 41  #SUP: 60969 (17.92%)
5 18 43  #SUP: 61820 (18.17%)
5 18 59  #SUP: 58600 (17.23%)
5 21 24  #SUP: 52717 (15.50%)
5 21 27  #SUP: 60750 (17.86%)
5 21 28  #SUP: 53120 (15.62%)
5 21 29  #SUP: 59405 (17.46%)
5 21 31  #SUP: 64832 (19.06%)
5 21 41  #SUP: 57601 (16.93%)
5 21 43  #SUP: 58262 (17.13%)
5 21 59  #SUP: 55180 (16.22%)
5 24 31  #SUP: 54974 (16.16%)
5 25 31  #SUP: 51308 (15.08%)
5 27 29  #SUP: 55836 (16.41%)
5 27 31  #SUP: 61218 (18.00%)
5 27 41  #SUP: 54716 (16.08%)
5 27 43  #SUP: 55029 (16.18%)
5 27 59  #SUP: 52364 (15.39%)
5 28 31  #SUP: 55613 (16.35%)
5 29 31  #SUP: 61262 (18.01%)
5 29 41  #SUP: 54765 (16.10%)
5 29 43  #SUP: 55125 (16.20%)
5 29 59  #SUP: 52098 (15.31%)
5 31 41  #SUP: 59812 (17.58%)
5 31 43  #SUP: 60279 (17.72%)
5 31 59  #SUP: 57392 (16.87%)
5 41 43  #SUP: 53649 (15.77%)
5 41 59  #SUP: 52366 (15.39%)
5 43 59  #SUP: 52892 (15.55%)
7 12 17  #SUP: 51171 (15.04%)
7 12 18  #SUP: 51106 (15.02%)
7 17 18  #SUP: 51055 (15.01%)
8 53 56  #SUP: 52496 (15.43%)
9 12 16  #SUP: 51394 (15.11%)
9 12 17  #SUP: 52997 (15.58%)
9 12 18  #SUP: 52892 (15.55%)
9 16 17  #SUP: 51634 (15.18%)
9 16 18  #SUP: 51466 (15.13%)
9 17 18  #SUP: 52968 (15.57%)
12 23 26  #SUP: 61506 (18.08%)
12 23 30  #SUP: 69309 (20.37%)
12 23 35  #SUP: 52042 (15.30%)
12 23 39  #SUP: 63303 (18.61%)
12 23 60  #SUP: 52725 (15.50%)
12 26 30  #SUP: 64693 (19.02%)
12 26 39  #SUP: 58787 (17.28%)
12 26 46  #SUP: 55915 (16.44%)
12 26 53  #SUP: 53336 (15.68%)
12 26 60  #SUP: 56038 (16.47%)
12 26 80  #SUP: 54183 (15.93%)
12 30 46  #SUP: 63920 (18.79%)
12 30 53  #SUP: 57226 (16.82%)
12 30 56  #SUP: 51037 (15.00%)
12 30 60  #SUP: 62916 (18.49%)
12 30 80  #SUP: 57558 (16.92%)
12 39 46  #SUP: 56459 (16.60%)
12 39 53  #SUP: 53197 (15.64%)
12 39 60  #SUP: 60735 (17.85%)
12 39 80  #SUP: 52962 (15.57%)
12 46 53  #SUP: 59124 (17.38%)
12 46 56  #SUP: 51522 (15.15%)
12 46 60  #SUP: 62860 (18.48%)
12 46 64  #SUP: 63175 (18.57%)
12 46 80  #SUP: 56807 (16.70%)
12 53 56  #SUP: 70417 (20.70%)
12 53 60  #SUP: 54944 (16.15%)
12 53 80  #SUP: 65867 (19.36%)
12 56 80  #SUP: 65641 (19.30%)
12 60 80  #SUP: 53319 (15.67%)
12 80 84  #SUP: 55389 (16.28%)
15 23 30  #SUP: 52790 (15.52%)
15 26 30  #SUP: 51449 (15.12%)
15 30 46  #SUP: 54643 (16.06%)
15 30 60  #SUP: 53099 (15.61%)
15 39 60  #SUP: 51309 (15.08%)
15 46 53  #SUP: 51743 (15.21%)
15 46 60  #SUP: 54801 (16.11%)
15 46 64  #SUP: 53423 (15.70%)
15 53 56  #SUP: 58397 (17.17%)
15 53 80  #SUP: 54618 (16.06%)
15 56 80  #SUP: 53793 (15.81%)
16 23 26  #SUP: 59189 (17.40%)
16 23 30  #SUP: 67061 (19.71%)
16 23 39  #SUP: 61369 (18.04%)
16 23 60  #SUP: 51573 (15.16%)
16 26 30  #SUP: 63250 (18.59%)
16 26 39  #SUP: 57362 (16.86%)
16 26 46  #SUP: 55234 (16.24%)
16 26 53  #SUP: 52560 (15.45%)
16 26 60  #SUP: 55218 (16.23%)
16 26 80  #SUP: 53311 (15.67%)
16 30 46  #SUP: 63413 (18.64%)
16 30 53  #SUP: 56587 (16.63%)
16 30 60  #SUP: 62246 (18.30%)
16 30 80  #SUP: 56666 (16.66%)
