=== RP-GROWTH MIXED - RARE PATTERN MINING ===
File dữ liệu: accidents.hui
MinRareSupport (minsup): 15.0%
MinFrequentSupport (maxsup): 50.0%
MinSize: 1 items
MaxSize: 4 items
Mode: MIXED (Frequent + Rare Items)
Thời gian bắt đầu: Thu Jun 05 10:37:15 ICT 2025
Output folder: release/RPGrowth/

========== ĐỊNH NGHĨA MIXED MODE ==========
- Rare Item: MRT < Support(X) <= MFT
- Frequent Item: Support(X) > MFT
- Infrequent Item: Support(X) <= MRT
- Rare ItemSet: MRT < Support(Pattern) <= MFT AND có ít nhất 1 rare item
- Kích thước itemset: 1 <= size <= 4
- Chấp nhận patterns chứa cả frequent và rare items

========== MIXED RARE ITEMSETS ==========
Tìm itemsets với support trong khoảng (15.0%, 50.0%]
Kích thước itemset: 1 <= size <= 4
Điều kiện: Pattern có ít nhất 1 rare item
Mode: MIXED (chấp nhận cả frequent và rare items)

========== DATABASE INFO ==========
Số lượng giao dịch: 340183

--- 1-itemsets HIẾM (MIXED) ---
72  #SUP: 51926 (15.26%)
21 44  #SUP: 68226 (20.06%)
31 44  #SUP: 68422 (20.11%)
16 44  #SUP: 71075 (20.89%)
17 44  #SUP: 72800 (21.40%)
12 44  #SUP: 72810 (21.40%)
18 44  #SUP: 72913 (21.43%)
15 68  #SUP: 54381 (15.99%)
59 68  #SUP: 54659 (16.07%)
24 68  #SUP: 58496 (17.20%)
41 68  #SUP: 58857 (17.30%)
43 68  #SUP: 63015 (18.52%)
27 68  #SUP: 64716 (19.02%)
29 68  #SUP: 67494 (19.84%)
21 68  #SUP: 69996 (20.58%)
16 68  #SUP: 71059 (20.89%)
31 68  #SUP: 71921 (21.14%)
18 68  #SUP: 73026 (21.47%)
12 68  #SUP: 73058 (21.48%)
17 68  #SUP: 73326 (21.55%)
8 335  #SUP: 51139 (15.03%)
1 335  #SUP: 51575 (15.16%)
59 335  #SUP: 55233 (16.24%)
25 335  #SUP: 57355 (16.86%)
41 335  #SUP: 57761 (16.98%)
24 335  #SUP: 59625 (17.53%)
27 335  #SUP: 60160 (17.68%)
28 335  #SUP: 61110 (17.96%)
15 335  #SUP: 61583 (18.10%)
29 335  #SUP: 64233 (18.88%)
21 335  #SUP: 64707 (19.02%)
43 335  #SUP: 67170 (19.75%)
31 335  #SUP: 68570 (20.16%)
16 335  #SUP: 72193 (21.22%)
12 335  #SUP: 73598 (21.63%)
17 335  #SUP: 73690 (21.66%)
18 335  #SUP: 73728 (21.67%)
14 64  #SUP: 53893 (15.84%)
22 64  #SUP: 54522 (16.03%)
1 64  #SUP: 56241 (16.53%)
8 64  #SUP: 57419 (16.88%)
25 64  #SUP: 62697 (18.43%)
59 64  #SUP: 63346 (18.62%)
41 64  #SUP: 63750 (18.74%)
24 64  #SUP: 64176 (18.87%)
27 64  #SUP: 64682 (19.01%)
15 64  #SUP: 65198 (19.17%)
28 64  #SUP: 66226 (19.47%)
21 64  #SUP: 67760 (19.92%)
29 64  #SUP: 67887 (19.96%)
46 64  #SUP: 70384 (20.69%)
43 64  #SUP: 72480 (21.31%)
31 64  #SUP: 74068 (21.77%)
16 64  #SUP: 76434 (22.47%)
18 64  #SUP: 77447 (22.77%)
12 64  #SUP: 77458 (22.77%)
17 64  #SUP: 77566 (22.80%)
5 14  #SUP: 51474 (15.13%)
5 56  #SUP: 53447 (15.71%)
5 8  #SUP: 54791 (16.11%)
5 22  #SUP: 56665 (16.66%)
5 25  #SUP: 58614 (17.23%)
1 5  #SUP: 59504 (17.49%)
5 24  #SUP: 62456 (18.36%)
5 28  #SUP: 63364 (18.63%)
5 59  #SUP: 65098 (19.14%)
5 15  #SUP: 66121 (19.44%)
5 41  #SUP: 67882 (19.95%)
5 43  #SUP: 68776 (20.22%)
5 27  #SUP: 69775 (20.51%)
5 29  #SUP: 69883 (20.54%)
5 21  #SUP: 73749 (21.68%)
5 31  #SUP: 76364 (22.45%)
5 16  #SUP: 77476 (22.77%)
5 18  #SUP: 78300 (23.02%)
5 12  #SUP: 78307 (23.02%)
5 17  #SUP: 78503 (23.08%)
14 47  #SUP: 51103 (15.02%)
30 47  #SUP: 51721 (15.20%)
38 47  #SUP: 54262 (15.95%)
10 47  #SUP: 55192 (16.22%)
47 59  #SUP: 57329 (16.85%)
47 63  #SUP: 59364 (17.45%)
25 47  #SUP: 59631 (17.53%)
8 47  #SUP: 61724 (18.14%)
41 47  #SUP: 63717 (18.73%)
28 47  #SUP: 64612 (18.99%)
15 47  #SUP: 67784 (19.93%)
24 47  #SUP: 71357 (20.98%)
43 47  #SUP: 75844 (22.30%)
27 47  #SUP: 76701 (22.55%)
21 47  #SUP: 79425 (23.35%)
31 47  #SUP: 79553 (23.39%)
29 47  #SUP: 80506 (23.67%)
16 47  #SUP: 86278 (25.36%)
18 47  #SUP: 88779 (26.10%)
12 47  #SUP: 88847 (26.12%)
17 47  #SUP: 88873 (26.13%)
39 56  #SUP: 51671 (15.19%)
56 60  #SUP: 54768 (16.10%)
26 56  #SUP: 55736 (16.38%)
30 56  #SUP: 56746 (16.68%)
46 56  #SUP: 57463 (16.89%)
56 63  #SUP: 65998 (19.40%)
14 56  #SUP: 66319 (19.50%)
38 56  #SUP: 67548 (19.86%)
56 80  #SUP: 73060 (21.48%)
22 56  #SUP: 74094 (21.78%)
8 56  #SUP: 75491 (22.19%)
25 56  #SUP: 77954 (22.92%)
1 56  #SUP: 78116 (22.96%)
53 56  #SUP: 78304 (23.02%)
28 56  #SUP: 83109 (24.43%)
15 56  #SUP: 83575 (24.57%)
24 56  #SUP: 84950 (24.97%)
29 56  #SUP: 91081 (26.77%)
27 56  #SUP: 91640 (26.94%)
43 56  #SUP: 94464 (27.77%)
41 56  #SUP: 94725 (27.85%)
21 56  #SUP: 96051 (28.24%)
56 59  #SUP: 96212 (28.28%)
31 56  #SUP: 100138 (29.44%)
16 56  #SUP: 100407 (29.52%)
12 56  #SUP: 101776 (29.92%)
18 56  #SUP: 101846 (29.94%)
17 56  #SUP: 102124 (30.02%)
23 80  #SUP: 51885 (15.25%)
39 80  #SUP: 59078 (17.37%)
60 80  #SUP: 59422 (17.47%)
26 80  #SUP: 60293 (17.72%)
46 80  #SUP: 63359 (18.62%)
30 80  #SUP: 63969 (18.80%)
63 80  #SUP: 72905 (21.43%)
53 80  #SUP: 73261 (21.54%)
14 80  #SUP: 73892 (21.72%)
38 80  #SUP: 74577 (21.92%)
22 80  #SUP: 81861 (24.06%)
8 80  #SUP: 82676 (24.30%)
1 80  #SUP: 84336 (24.79%)
25 80  #SUP: 85545 (25.15%)
28 80  #SUP: 92459 (27.18%)
24 80  #SUP: 94261 (27.71%)
15 80  #SUP: 95203 (27.99%)
41 80  #SUP: 100049 (29.41%)
59 80  #SUP: 101121 (29.73%)
27 80  #SUP: 102329 (30.08%)
29 80  #SUP: 103147 (30.32%)
21 80  #SUP: 107760 (31.68%)
43 80  #SUP: 110053 (32.35%)
31 80  #SUP: 111749 (32.85%)
16 80  #SUP: 113643 (33.41%)
12 80  #SUP: 115369 (33.91%)
18 80  #SUP: 115419 (33.93%)
17 80  #SUP: 115594 (33.98%)
39 53  #SUP: 59256 (17.42%)
26 53  #SUP: 59359 (17.45%)
53 60  #SUP: 61144 (17.97%)
30 53  #SUP: 63664 (18.71%)
46 53  #SUP: 65889 (19.37%)
38 53  #SUP: 75646 (22.24%)
53 63  #SUP: 76450 (22.47%)
14 53  #SUP: 78055 (22.95%)
22 53  #SUP: 84595 (24.87%)
8 53  #SUP: 86756 (25.50%)
1 53  #SUP: 89011 (26.17%)
25 53  #SUP: 90049 (26.47%)
15 53  #SUP: 96638 (28.41%)
28 53  #SUP: 96735 (28.44%)
24 53  #SUP: 97115 (28.55%)
27 53  #SUP: 102891 (30.25%)
29 53  #SUP: 104106 (30.60%)
41 53  #SUP: 104452 (30.70%)
43 53  #SUP: 105757 (31.09%)
53 59  #SUP: 107386 (31.57%)
21 53  #SUP: 107906 (31.72%)
31 53  #SUP: 113742 (33.44%)
16 53  #SUP: 114468 (33.65%)
18 53  #SUP: 115890 (34.07%)
12 53  #SUP: 115942 (34.08%)
17 53  #SUP: 116249 (34.17%)
23 60  #SUP: 58648 (17.24%)
26 60  #SUP: 62382 (18.34%)
39 60  #SUP: 67733 (19.91%)
10 60  #SUP: 69743 (20.50%)
30 60  #SUP: 70079 (20.60%)
46 60  #SUP: 70123 (20.61%)
38 60  #SUP: 80930 (23.79%)
60 63  #SUP: 80959 (23.80%)
14 60  #SUP: 83805 (24.64%)
8 60  #SUP: 90048 (26.47%)
29 60  #SUP: 95946 (28.20%)
22 60  #SUP: 96122 (28.26%)
1 60  #SUP: 99438 (29.23%)
59 60  #SUP: 101738 (29.91%)
25 60  #SUP: 102098 (30.01%)
24 60  #SUP: 103370 (30.39%)
41 60  #SUP: 107828 (31.70%)
15 60  #SUP: 107870 (31.71%)
28 60  #SUP: 109697 (32.25%)
27 60  #SUP: 112706 (33.13%)
43 60  #SUP: 113193 (33.27%)
21 60  #SUP: 115853 (34.06%)
31 60  #SUP: 125054 (36.76%)
16 60  #SUP: 127121 (37.37%)
12 60  #SUP: 128757 (37.85%)
18 60  #SUP: 129001 (37.92%)
17 60  #SUP: 129066 (37.94%)
26 38  #SUP: 54261 (15.95%)
26 46  #SUP: 62262 (18.30%)
26 39  #SUP: 65471 (19.25%)
23 26  #SUP: 68339 (20.09%)
10 26  #SUP: 70700 (20.78%)
26 30  #SUP: 72124 (21.20%)
14 26  #SUP: 80559 (23.68%)
26 63  #SUP: 86364 (25.39%)
22 26  #SUP: 88812 (26.11%)
1 26  #SUP: 90635 (26.64%)
8 26  #SUP: 91221 (26.82%)
25 26  #SUP: 97356 (28.62%)
26 59  #SUP: 100475 (29.54%)
26 28  #SUP: 102512 (30.13%)
15 26  #SUP: 103627 (30.46%)
24 26  #SUP: 105199 (30.92%)
26 41  #SUP: 106109 (31.19%)
26 27  #SUP: 111714 (32.84%)
26 43  #SUP: 112644 (33.11%)
26 29  #SUP: 116075 (34.12%)
21 26  #SUP: 118383 (34.80%)
26 31  #SUP: 123758 (36.38%)
16 26  #SUP: 127444 (37.46%)
18 26  #SUP: 130606 (38.39%)
12 26  #SUP: 130694 (38.42%)
17 26  #SUP: 130779 (38.44%)
39 46  #SUP: 62978 (18.51%)
23 39  #SUP: 70456 (20.71%)
10 39  #SUP: 74701 (21.96%)
14 39  #SUP: 83004 (24.40%)
38 39  #SUP: 84463 (24.83%)
39 63  #SUP: 84813 (24.93%)
8 39  #SUP: 92718 (27.26%)
22 39  #SUP: 92980 (27.33%)
1 39  #SUP: 94322 (27.73%)
25 39  #SUP: 98568 (28.97%)
39 59  #SUP: 99926 (29.37%)
28 39  #SUP: 106136 (31.20%)
24 39  #SUP: 107038 (31.46%)
15 39  #SUP: 108776 (31.98%)
39 41  #SUP: 109048 (32.06%)
39 43  #SUP: 113550 (33.38%)
27 39  #SUP: 115429 (33.93%)
29 39  #SUP: 118828 (34.93%)
21 39  #SUP: 125627 (36.93%)
31 39  #SUP: 127173 (37.38%)
16 39  #SUP: 130805 (38.45%)
12 39  #SUP: 133497 (39.24%)
18 39  #SUP: 133598 (39.27%)
17 39  #SUP: 133828 (39.34%)
30 46  #SUP: 71232 (20.94%)
10 46  #SUP: 71342 (20.97%)
38 46  #SUP: 83920 (24.67%)
46 63  #SUP: 86760 (25.50%)
22 46  #SUP: 94032 (27.64%)
14 46  #SUP: 94636 (27.82%)
1 46  #SUP: 97119 (28.55%)
8 46  #SUP: 99341 (29.20%)
46 59  #SUP: 109008 (32.04%)
25 46  #SUP: 109523 (32.20%)
41 46  #SUP: 110068 (32.36%)
27 46  #SUP: 110747 (32.56%)
24 46  #SUP: 111419 (32.75%)
15 46  #SUP: 114112 (33.54%)
28 46  #SUP: 114895 (33.77%)
21 46  #SUP: 116197 (34.16%)
29 46  #SUP: 117406 (34.51%)
43 46  #SUP: 124386 (36.56%)
31 46  #SUP: 127507 (37.48%)
16 46  #SUP: 132756 (39.02%)
12 46  #SUP: 134048 (39.40%)
18 46  #SUP: 134258 (39.47%)
17 46  #SUP: 134535 (39.55%)
23 30  #SUP: 77069 (22.66%)
14 23  #SUP: 79333 (23.32%)
23 38  #SUP: 86403 (25.40%)
10 23  #SUP: 88432 (26.00%)
23 59  #SUP: 89734 (26.38%)
23 63  #SUP: 91576 (26.92%)
22 23  #SUP: 91889 (27.01%)
1 23  #SUP: 92656 (27.24%)
8 23  #SUP: 93898 (27.60%)
23 25  #SUP: 99450 (29.23%)
23 41  #SUP: 103597 (30.45%)
23 28  #SUP: 103913 (30.55%)
15 23  #SUP: 106397 (31.28%)
23 24  #SUP: 110249 (32.41%)
23 43  #SUP: 111112 (32.66%)
23 27  #SUP: 118948 (34.97%)
23 29  #SUP: 124205 (36.51%)
21 23  #SUP: 128090 (37.65%)
23 31  #SUP: 129093 (37.95%)
16 23  #SUP: 135431 (39.81%)
18 23  #SUP: 140075 (41.18%)
12 23  #SUP: 140293 (41.24%)
17 23  #SUP: 140492 (41.30%)
10 30  #SUP: 84947 (24.97%)
14 30  #SUP: 91232 (26.82%)
30 38  #SUP: 93545 (27.50%)
30 63  #SUP: 95686 (28.13%)
22 30  #SUP: 96844 (28.47%)
1 30  #SUP: 97445 (28.64%)
8 30  #SUP: 102001 (29.98%)
30 59  #SUP: 106827 (31.40%)
25 30  #SUP: 108137 (31.79%)
28 30  #SUP: 115199 (33.86%)
30 41  #SUP: 116808 (34.34%)
24 30  #SUP: 118542 (34.85%)
15 30  #SUP: 119836 (35.23%)
30 43  #SUP: 127192 (37.39%)
27 30  #SUP: 130515 (38.37%)
29 30  #SUP: 132651 (38.99%)
21 30  #SUP: 137902 (40.54%)
30 31  #SUP: 140444 (41.28%)
16 30  #SUP: 145431 (42.75%)
18 30  #SUP: 148533 (43.66%)
12 30  #SUP: 148559 (43.67%)
17 30  #SUP: 148715 (43.72%)

--- 3-itemsets HIẾM (MIXED) ---
7 17 18  #SUP: 51055 (15.01%)
7 12 18  #SUP: 51106 (15.02%)
7 12 17  #SUP: 51171 (15.04%)
12 16 108  #SUP: 51296 (15.08%)
16 18 108  #SUP: 51406 (15.11%)
16 17 108  #SUP: 51417 (15.11%)
12 17 108  #SUP: 51856 (15.24%)
12 18 108  #SUP: 51838 (15.24%)
17 18 108  #SUP: 51921 (15.26%)
12 31 62  #SUP: 51583 (15.16%)
18 31 62  #SUP: 51618 (15.17%)
17 31 62  #SUP: 51684 (15.19%)
12 16 62  #SUP: 52219 (15.35%)
16 18 62  #SUP: 52240 (15.36%)
16 17 62  #SUP: 52245 (15.36%)
12 17 62  #SUP: 52892 (15.55%)
12 18 62  #SUP: 52850 (15.54%)
17 18 62  #SUP: 52891 (15.55%)
9 12 16  #SUP: 51394 (15.11%)
9 16 18  #SUP: 51466 (15.13%)
9 16 17  #SUP: 51634 (15.18%)
9 12 17  #SUP: 52997 (15.58%)
9 12 18  #SUP: 52892 (15.55%)
9 17 18  #SUP: 52968 (15.57%)
16 31 102  #SUP: 51627 (15.18%)
18 31 102  #SUP: 52348 (15.39%)
12 31 102  #SUP: 52449 (15.42%)
17 31 102  #SUP: 52528 (15.44%)
16 18 102  #SUP: 52638 (15.47%)
12 16 102  #SUP: 52748 (15.51%)
16 17 102  #SUP: 52784 (15.52%)
17 18 102  #SUP: 53448 (15.71%)
12 18 102  #SUP: 53459 (15.71%)
12 17 102  #SUP: 53606 (15.76%)
16 18 35  #SUP: 51693 (15.20%)
16 17 35  #SUP: 51788 (15.22%)
12 16 35  #SUP: 51830 (15.24%)
18 23 35  #SUP: 51985 (15.28%)
12 23 35  #SUP: 52042 (15.30%)
17 23 35  #SUP: 52045 (15.30%)
17 18 35  #SUP: 53584 (15.75%)
12 18 35  #SUP: 53598 (15.76%)
12 17 35  #SUP: 53662 (15.77%)
16 18 49  #SUP: 51892 (15.25%)
12 16 49  #SUP: 52023 (15.29%)
16 17 49  #SUP: 52055 (15.30%)
12 18 49  #SUP: 53564 (15.75%)
17 18 49  #SUP: 53585 (15.75%)
12 17 49  #SUP: 53733 (15.80%)
16 21 84  #SUP: 51110 (15.02%)
18 21 84  #SUP: 52083 (15.31%)
12 21 84  #SUP: 52139 (15.33%)
17 21 84  #SUP: 52210 (15.35%)
31 43 84  #SUP: 51570 (15.16%)
16 43 84  #SUP: 52331 (15.38%)
12 43 84  #SUP: 53375 (15.69%)
18 43 84  #SUP: 53376 (15.69%)
17 43 84  #SUP: 53479 (15.72%)
16 31 84  #SUP: 52464 (15.42%)
18 31 84  #SUP: 53344 (15.68%)
12 31 84  #SUP: 53419 (15.70%)
17 31 84  #SUP: 53563 (15.75%)
16 18 84  #SUP: 54233 (15.94%)
12 16 84  #SUP: 54290 (15.96%)
16 17 84  #SUP: 54395 (15.99%)
12 18 84  #SUP: 55276 (16.25%)
17 18 84  #SUP: 55385 (16.28%)
12 17 84  #SUP: 55471 (16.31%)
21 80 84  #SUP: 52141 (15.33%)
31 80 84  #SUP: 53450 (15.71%)
43 80 84  #SUP: 53501 (15.73%)
16 80 84  #SUP: 54347 (15.98%)
18 80 84  #SUP: 55354 (16.27%)
12 80 84  #SUP: 55389 (16.28%)
17 80 84  #SUP: 55488 (16.31%)
18 27 33  #SUP: 51052 (15.01%)
12 27 33  #SUP: 51123 (15.03%)
16 21 33  #SUP: 51034 (15.00%)
17 21 33  #SUP: 52854 (15.54%)
18 21 33  #SUP: 52949 (15.56%)
12 21 33  #SUP: 53025 (15.59%)
16 29 33  #SUP: 51159 (15.04%)
17 29 33  #SUP: 52991 (15.58%)
18 29 33  #SUP: 53007 (15.58%)
12 29 33  #SUP: 53239 (15.65%)
16 17 33  #SUP: 56246 (16.53%)
16 18 33  #SUP: 56297 (16.55%)
12 16 33  #SUP: 56345 (16.56%)
17 18 33  #SUP: 58188 (17.10%)
12 18 33  #SUP: 58342 (17.15%)
12 17 33  #SUP: 58341 (17.15%)
12 27 82  #SUP: 51186 (15.05%)
18 27 82  #SUP: 51238 (15.06%)
17 27 82  #SUP: 51281 (15.07%)
12 41 82  #SUP: 51271 (15.07%)
17 41 82  #SUP: 51351 (15.10%)
18 41 82  #SUP: 51372 (15.10%)
31 43 82  #SUP: 51900 (15.26%)
16 43 82  #SUP: 52747 (15.51%)
17 43 82  #SUP: 53693 (15.78%)
12 43 82  #SUP: 53706 (15.79%)
18 43 82  #SUP: 53777 (15.81%)
21 31 82  #SUP: 52614 (15.47%)
16 21 82  #SUP: 53184 (15.63%)
17 21 82  #SUP: 54206 (15.93%)
18 21 82  #SUP: 54261 (15.95%)
12 21 82  #SUP: 54277 (15.96%)
29 31 82  #SUP: 52642 (15.47%)
16 29 82  #SUP: 53360 (15.69%)
12 29 82  #SUP: 54438 (16.00%)
18 29 82  #SUP: 54478 (16.01%)
17 29 82  #SUP: 54511 (16.02%)
16 31 82  #SUP: 58164 (17.10%)
12 31 82  #SUP: 59188 (17.40%)
17 31 82  #SUP: 59201 (17.40%)
18 31 82  #SUP: 59209 (17.41%)
12 16 82  #SUP: 60215 (17.70%)
16 18 82  #SUP: 60218 (17.70%)
16 17 82  #SUP: 60281 (17.72%)
12 17 82  #SUP: 61353 (18.04%)
12 18 82  #SUP: 61375 (18.04%)
17 18 82  #SUP: 61396 (18.05%)
15 18 61  #SUP: 51192 (15.05%)
12 15 61  #SUP: 51202 (15.05%)
15 17 61  #SUP: 51376 (15.10%)
31 41 61  #SUP: 51820 (15.23%)
16 41 61  #SUP: 51939 (15.27%)
18 41 61  #SUP: 53065 (15.60%)
12 41 61  #SUP: 53075 (15.60%)
17 41 61  #SUP: 53212 (15.64%)
31 43 61  #SUP: 51258 (15.07%)
16 43 61  #SUP: 52159 (15.33%)
18 43 61  #SUP: 53359 (15.69%)
17 43 61  #SUP: 53419 (15.70%)
12 43 61  #SUP: 53436 (15.71%)
27 31 61  #SUP: 52340 (15.39%)
21 27 61  #SUP: 52987 (15.58%)
16 27 61  #SUP: 53154 (15.63%)
18 27 61  #SUP: 54233 (15.94%)
12 27 61  #SUP: 54315 (15.97%)
17 27 61  #SUP: 54331 (15.97%)
21 29 61  #SUP: 52836 (15.53%)
29 31 61  #SUP: 54572 (16.04%)
16 29 61  #SUP: 55344 (16.27%)
18 29 61  #SUP: 56695 (16.67%)
12 29 61  #SUP: 56745 (16.68%)
17 29 61  #SUP: 56892 (16.72%)
21 31 61  #SUP: 56069 (16.48%)
16 21 61  #SUP: 56749 (16.68%)
18 21 61  #SUP: 58130 (17.09%)
17 21 61  #SUP: 58178 (17.10%)
12 21 61  #SUP: 58184 (17.10%)
16 31 61  #SUP: 59100 (17.37%)
